year,month,day,date,julian,mlk_temp_150_avg,mlk_temp_150_max,mlk_temp_150_min,mlk_hum_150_avg,mlk_hum_150_max,mlk_hum_150_min,mlk_temp_0_avg,mlk_temp_20_avg,mlk_temp_40_avg,mlk_temp_80_avg,mlk_temp_0_max,mlk_temp_20_max,mlk_temp_40_max,mlk_temp_80_max,mlk_temp_0_min,mlk_temp_20_min,mlk_temp_40_min,mlk_temp_80_min,mlk_WindSpd_avg,mlk_WindDir_avg,mlk_WindDir_std,mlk_WindSpd_max,mlk_WindSpd_min,mlk_rain_tot_mm,mlk_snow_depth,mlk_total_flux_density_mj_m2,rlk_temp_150_avg,rlk_hum_150_avg,rlk_temp_0_avg,rlk_temp_15_avg,rlk_temp_10_avg,rlk_temp_5_avg,rlk_temp_20_avg,rlk_temp_40_avg,rlk_temp_80_avg,rlk_temp_2p5_avg,rlk_temp_150_max,rlk_hum_150_max,rlk_temp_0_max,rlk_temp_15_max,rlk_temp_10_max,rlk_temp_5_max,rlk_temp_20_max,rlk_temp_40_max,rlk_temp_80_max,rlk_temp_2p5_max,rlk_temp_150_min,rlk_hum_150_min,rlk_temp_0_min,rlk_temp_15_min,rlk_temp_10_min,rlk_temp_5_min,rlk_temp_20_min,rlk_temp_40_min,rlk_temp_80_min,rlk_temp_2p5_min,rlk_Windmsec_S_WVT,rlk_Windmsec_U_WVT,rlk_WindDirec_D1_WVT,rlk_WindDirec_SD1_WVT,rlk_rain_tot_mm
2004,10,15,2004-10-15,289,-2.212,-1.352,-3.131,87.400,89.900,83.100,-0.805,0.187,0.318,0.320,0.300,0.241,0.369,0.510,-0.034,0.111,0.100,0.259,4.816,26.170,15.310,,,0.100,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,16,2004-10-16,290,-4.496,-3.000,-7.240,80.000,90.700,65.050,-1.746,0.074,0.253,0.253,0.293,0.173,0.323,0.314,0.150,-0.038,0.173,0.192,5.438,3.183,17.430,,,0.000,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,17,2004-10-17,291,-8.700,-6.127,-11.570,83.900,92.000,73.500,-2.270,-0.034,0.189,0.209,0.199,0.018,0.251,0.262,0.054,-0.081,0.143,0.171,4.977,323.800,22.300,,,0.000,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,18,2004-10-18,292,-10.550,-8.030,-13.200,70.500,76.300,62.950,-2.236,-0.087,0.143,0.171,0.098,-0.025,0.234,0.229,-0.049,-0.142,0.077,0.113,3.779,289.100,16.260,,,0.000,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,19,2004-10-19,293,-9.060,-4.346,-14.810,76.900,93.000,59.180,-3.248,-0.131,0.081,0.111,0.048,-0.011,0.229,0.203,-0.124,-0.214,-0.014,0.027,1.460,327.300,44.030,,,0.000,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,20,2004-10-20,294,-1.158,1.702,-4.346,92.800,98.500,76.900,-1.333,-0.108,0.012,0.043,-0.012,-0.027,0.081,0.102,-0.117,-0.156,-0.047,-0.019,1.897,2.350,33.470,,,0.600,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,21,2004-10-21,295,-2.344,-0.932,-4.124,89.100,96.600,81.100,-1.004,-0.128,-0.032,-0.003,-0.067,-0.079,0.009,0.039,-0.149,-0.174,-0.070,-0.039,2.359,36.770,25.340,,,0.000,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,22,2004-10-22,296,-1.015,0.160,-1.431,96.300,98.500,90.000,-0.658,-0.123,-0.052,-0.026,-0.055,-0.065,-0.001,0.021,-0.158,-0.165,-0.096,-0.072,3.743,28.190,15.930,,,1.800,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,23,2004-10-23,297,-0.653,0.427,-2.048,95.800,99.400,87.600,-0.436,-0.124,-0.067,-0.045,-0.058,-0.050,0.000,0.011,-0.160,-0.169,-0.113,-0.092,3.076,37.100,14.330,,,1.400,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,24,2004-10-24,298,-2.271,0.378,-9.280,97.400,99.900,91.600,-0.295,-0.140,-0.096,-0.076,-0.085,-0.075,-0.025,-0.025,-0.226,-0.260,-0.225,-0.153,2.044,319.600,58.710,,,0.000,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
