"month","YEAR","day.x","date","julian","mlk_temp_150_avg","mlk_temp_150_max","mlk_temp_150_min","mlk_hum_150_avg","mlk_hum_150_max","mlk_hum_150_min","mlk_temp_0_avg","mlk_temp_20_avg","mlk_temp_40_avg","mlk_temp_80_avg","mlk_temp_0_max","mlk_temp_20_max","mlk_temp_40_max","mlk_temp_80_max","mlk_temp_0_min","mlk_temp_20_min","mlk_temp_40_min","mlk_temp_80_min","mlk_WindSpd_avg","mlk_WindDir_avg","mlk_WindDir_std","mlk_WindSpd_max","mlk_WindSpd_min","mlk_rain_tot_mm","mlk_snow_depth","mlk_total_flux_density_mj_m2","rlk_temp_150_avg","rlk_hum_150_avg","rlk_temp_0_avg","rlk_temp_15_avg","rlk_temp_10_avg","rlk_temp_5_avg","rlk_temp_20_avg","rlk_temp_40_avg","rlk_temp_80_avg","rlk_temp_2p5_avg","rlk_temp_150_max","rlk_hum_150_max","rlk_temp_0_max","rlk_temp_15_max","rlk_temp_10_max","rlk_temp_5_max","rlk_temp_20_max","rlk_temp_40_max","rlk_temp_80_max","rlk_temp_2p5_max","rlk_temp_150_min","rlk_hum_150_min","rlk_temp_0_min","rlk_temp_15_min","rlk_temp_10_min","rlk_temp_5_min","rlk_temp_20_min","rlk_temp_40_min","rlk_temp_80_min","rlk_temp_2p5_min","rlk_Windmsec_S_WVT","rlk_Windmsec_U_WVT","rlk_WindDirec_D1_WVT","rlk_WindDirec_SD1_WVT","rlk_rain_tot_mm","day.y","station_temp","mean.150"
10,2004,15,2004-10-15,289,-2.212,-1.352,-3.131,87.4,89.9,83.1,-0.805,0.187,0.318,0.32,0.3,0.241,0.369,0.51,-0.034,0.111,0.1,0.259,4.816,26.17,15.31,NA,NA,0.1,0,NA,1.74298937058887,NA,-1.5965623944562,0.822268037594354,1.22197809479252,1.2882769574969,1.50885998203344,1.24544086643593,0.0272987842874052,1.20299774334049,5.71928806113875,NA,-0.226264314502132,3.91583178062947,3.60692640132284,3.20186190940432,1.82769504870295,1.12258651290755,0.124618037325955,3.15112597449659,0.0989208545298093,NA,-3.75250748360479,-3.14233848849457,-1.75035826192701,-1.32889362933108,0.817633271149258,1.09984074724008,-0.0905342254182256,-1.81508015365725,NA,NA,NA,NA,NA,NA,NA,42.2841666666667
10,2004,16,2004-10-16,290,-4.496,-3,-7.24,80,90.7,65.05,-1.746,0.074,0.253,0.253,0.293,0.173,0.323,0.314,0.15,-0.038,0.173,0.192,5.438,3.183,17.43,NA,NA,0,0.026,NA,0.471383061735597,NA,-4.13328053473096,-0.698456407542945,0.0796055158268081,0.141172977828576,0.901898191312329,1.04720203373247,0.0556897220123659,-0.110888383777093,5.62822417780924,NA,-2.59609680662523,1.94087590567296,1.7573988314166,1.57173788417969,1.17098034366382,0.919217260871851,0.122411786222998,1.49558083673715,-0.0461946010186504,NA,-6.85219461991711,-5.14514871435157,-2.91864828256792,-2.63050858337314,0.172787280036837,0.956496154555996,-0.0501007960238582,-3.38231054942366,NA,NA,NA,NA,NA,NA,NA,36.8356666666667
10,2004,17,2004-10-17,291,-8.7,-6.127,-11.57,83.9,92,73.5,-2.27,-0.034,0.189,0.209,0.199,0.018,0.251,0.262,0.054,-0.081,0.143,0.171,4.977,323.8,22.3,NA,NA,0,0.052,NA,0.548750684271132,NA,-6.37515991877875,-1.87303563299962,-0.792335872103732,-0.742059747256138,0.445027577377066,0.924584441635447,0.0949895689677855,-1.10854209756417,5.63376472609293,NA,-5.203923835709,-0.216802823611656,-0.265173394197131,-0.208875787262614,0.458403814410873,0.699060390034704,0.121269262291274,-0.310720281052027,-0.0373654235359828,NA,-9.2501713166586,-6.66754764013388,-3.79797708181421,-3.61568494914509,-0.322094591120531,0.851119629906527,-0.0172192886526673,-4.57031784692779,NA,NA,NA,NA,NA,NA,NA,37.1671666666667
10,2004,18,2004-10-18,292,-10.55,-8.03,-13.2,70.5,76.3,62.95,-2.236,-0.087,0.143,0.171,0.098,-0.025,0.234,0.229,-0.049,-0.142,0.077,0.113,3.779,289.1,16.26,NA,NA,0,0.034,NA,-1.2029316413411,NA,-9.0147667787903,-3.51586874392584,-2.03014896594166,-1.98225982223431,-0.214928789391484,0.699547956095316,0.119463304109729,-2.53405272423881,5.50832103033636,NA,-8.14334193714777,-2.66828105788608,-2.56073208578002,-2.23235917998699,-0.357343233882933,0.446382099880664,0.11838090382574,-2.36600484246778,-0.237267057310226,NA,-11.4225983503393,-8.09312988294086,-4.63663074973563,-4.54558644794555,-0.777267316514169,0.746181742808089,0.00981998774722725,-5.68852924593182,NA,NA,NA,NA,NA,NA,NA,29.6616666666667
10,2004,19,2004-10-19,293,-9.06,-4.346,-14.81,76.9,93,59.18,-3.248,-0.131,0.081,0.111,0.048,-0.011,0.229,0.203,-0.124,-0.214,-0.014,0.027,1.46,327.3,44.03,NA,NA,0,0.034,NA,-0.312406578330277,NA,-7.49856153969776,-2.58852554025019,-1.33239570945435,-1.28245092148314,0.15649519620489,0.823747686218462,0.104037410469677,-1.73097539950073,5.57209444029464,NA,-4.31123154052492,0.512971520399491,0.420001730048437,0.393179347899534,0.696624622092992,0.772367626548204,0.120933866489606,0.298835506566447,-0.135640516692734,NA,-11.7294784540889,-8.26553987492776,-4.72884420370877,-4.65359050507535,-0.837293918776773,0.73727531561466,0.0153570385781972,-5.82028775453402,NA,NA,NA,NA,NA,NA,NA,33.4773333333333
10,2004,20,2004-10-20,294,-1.158,1.702,-4.346,92.8,98.5,76.9,-1.333,-0.108,0.012,0.043,-0.012,-0.027,0.081,0.102,-0.117,-0.156,-0.047,-0.019,1.897,2.35,33.47,NA,NA,0.6,0.036,NA,2.15892299943376,NA,-0.703289127973662,1.35328086000359,1.62060056601848,1.68875403349781,1.72048495990505,1.31385412279243,0.0169245615128678,1.66133075448802,5.74907442755282,NA,2.73908325490234,6.37464659208564,5.91111645257363,5.23109985066365,2.64140551122508,1.37416662769241,0.126355795226702,5.21035328580736,0.146387116381073,NA,-4.17365847902206,-3.39947114651067,-1.89550953921574,-1.49366028696898,0.732228669065158,1.08342584428572,-0.0841520965369975,-2.01446311921191,NA,NA,NA,NA,NA,NA,NA,44.0663333333333
10,2004,21,2004-10-21,295,-2.344,-0.932,-4.124,89.1,96.6,81.1,-1.004,-0.128,-0.032,-0.003,-0.067,-0.079,0.009,0.039,-0.149,-0.174,-0.07,-0.039,2.359,36.77,25.34,NA,NA,0,0.056,NA,1.96451205049831,NA,-1.48224983017299,0.913955538895527,1.2922766628688,1.35781670630399,1.54708667006852,1.26156269593261,0.0279619603555998,1.2845616150777,5.73515202417327,NA,0.343656858814661,4.38989774541112,4.05099466767223,3.59313606341017,1.98505249950369,1.17128725647543,0.125075256607296,3.54838313718575,0.124200978091293,NA,-4.19883698876377,-3.42042605738664,-1.90924671311754,-1.50801120469568,0.726299626441107,1.08130427442569,-0.0841014785067378,-2.03143206423985,NA,NA,NA,NA,NA,NA,NA,43.2333333333333
10,2004,22,2004-10-22,296,-1.015,0.16,-1.431,96.3,98.5,90,-0.658,-0.123,-0.052,-0.026,-0.055,-0.065,-0.001,0.021,-0.158,-0.165,-0.096,-0.072,3.743,28.19,15.93,NA,NA,1.8,0.085,NA,2.8635946182642,NA,0.119668101324348,1.88782981040614,2.02468610692455,2.09264532995275,1.93674055222928,1.39095448246434,0.0111697512376658,2.12734940316542,5.7995382650126,NA,1.95572507309301,5.73371322954509,5.30942075091436,4.702325866532,2.43201266142318,1.30971221462246,0.126605710579822,4.67491831066224,0.226804099425822,NA,-2.07528336257642,-2.04761709926981,-1.10822282060952,-0.615719385123198,1.16817968648812,1.17965290240097,-0.111759731851277,-0.957100863485814,NA,NA,NA,NA,NA,NA,NA,47.0856666666667
10,2004,23,2004-10-23,297,-0.653,0.427,-2.048,95.8,99.4,87.6,-0.436,-0.124,-0.067,-0.045,-0.058,-0.05,0,0.011,-0.16,-0.169,-0.113,-0.092,3.076,37.1,14.33,NA,NA,1.4,0.077,NA,2.78626589347755,NA,0.267377031179579,1.95503209844304,2.07385730740899,2.14298801622678,1.96205868858421,1.3958714436253,0.0077260085948006,2.18324786444252,5.79400050232381,NA,2.12631750043567,5.87409474666263,5.44110701520098,4.8181587812433,2.47813245071832,1.32393594832717,0.126617547914738,4.79231967763167,0.217979360946414,NA,-2.47376374817037,-2.3028954676832,-1.25642484770056,-0.781280590322706,1.08560485239395,1.16167316025559,-0.106431802930798,-1.15659279724379,NA,NA,NA,NA,NA,NA,NA,46.7543333333333
10,2004,24,2004-10-24,298,-2.271,0.378,-9.28,97.4,99.9,91.6,-0.295,-0.14,-0.096,-0.076,-0.085,-0.075,-0.025,-0.025,-0.226,-0.26,-0.225,-0.153,2.044,319.6,58.71,NA,NA,0,0.162,NA,2.67739109434383,NA,-0.684937279864984,1.43610120279577,1.687227286403,1.75240058270033,1.7586010651963,1.33758097406239,0.0227433149436281,1.74016501617372,5.78620362215987,NA,2.00537165239692,5.77283661514595,5.3463371007493,4.7345707436675,2.44431612325583,1.31344858631377,0.126466672625025,4.70736615902484,0.205554590823746,NA,-6.6058535110569,-4.93239303521264,-2.77723420210819,-2.48386452358122,0.231936665792732,0.978833536361865,-0.050137330540921,-3.20929202944864,NA,NA,NA,NA,NA,NA,NA,46.2878333333333
