CODE,SOT,year,Site,Zone,Tree #,Aspect,Height,CODE,Stem length,Tray mass (g),SOT+0 (m/g),SOT+1 (m/g),SOT+2 (m/g),SOT+3 (m/g),SOT+4 (m/g),SOT+5 (m/g),Dry weight,Fresh wgt,Dry wgt,H2O content,Total needles,MEAN (cm),SA/leaf (cm2),SA total (cm2),SA total (m2),1,2,3,4,5,gmin
AIR F1 LA,2013-09-26,2013,AIR,F,1,L,A,AIR F1 LA,27.9,1.7958,2.384,2.35,2.3342,2.325,2.317,2.308,2.1035,0.3077,0.5882,91.16022099,59,0.74,2.4864444,146.7002196,0.014670022,1.27452E-06,5.92277E-07,3.4487E-07,2.99887E-07,3.37373E-07,6.76995E-07
AIR F1 LC,2013-09-26,2013,AIR,F,1,L,C,AIR F1 LC,18.1,1.8227,2.1655,2.13,2.119,2.113,2.107,2.101,2,0.1773,0.3428,93.34461365,38,0.75,2.520045,95.76171,0.009576171,2.03861E-06,6.31683E-07,3.44554E-07,3.44554E-07,3.44554E-07,7.17821E-07
AIR F1 LS,2013-09-26,2013,AIR,F,1,L,S,AIR F1 LS,31.1,1.762,2.2766,2.23,2.2214,2.214,2.207,2.2,2.0322,0.2702,0.5146,90.45151739,72,0.745,2.5032447,180.2336184,0.018023362,1.42183E-06,2.62398E-07,2.25785E-07,2.1358E-07,2.1358E-07,2.84367E-07
AIR F1 WA,2013-09-26,2013,AIR,F,1,W,A,AIR F1 WA,14.3,1.8091,2.0855,2.06,2.0505,2.047,2.042,2.038,1.934,0.1249,0.2764,121.2970376,38,0.71,2.3856426,90.6544188,0.009065442,1.54685E-06,5.76279E-07,2.12313E-07,3.03305E-07,2.42644E-07,6.52105E-07
AIR F1 WC,2013-09-26,2013,AIR,F,1,W,C,AIR F1 WC,17.9,1.8283,2.2611,2.22,2.1946,2.187,2.177,2.165,2.0375,0.2092,0.4328,106.8833652,46,0.76,2.5536456,117.4676976,0.01174677,1.92407E-06,1.18909E-06,3.5579E-07,4.68144E-07,5.61773E-07,1.26305E-06
AIR F1 WS,2013-09-26,2013,AIR,F,1,W,S,AIR F1 WS,18,1.8077,2.0785,2.06,2.0588,2.054,2.049,2.043,1.947,0.1393,0.2708,94.4005743,40,0.79,2.6544474,106.177896,0.01061779,9.58155E-07,6.21506E-08,2.48602E-07,2.58961E-07,3.10753E-07,4.45413E-08
AIR F2 LA,2013-09-26,2013,AIR,F,2,L,A,AIR F2 LA,13.5,1.7752,2.0327,2.02,2.0114,2.008,2.004,2,1.893,0.1178,0.2575,118.5908319,28,0.87,2.9232522,81.8510616,0.008185106,8.53253E-07,5.77793E-07,2.2843E-07,2.68741E-07,2.68741E-07,6.46322E-07
AIR F2 LC,2013-09-26,2013,AIR,F,2,L,C,AIR F2 LC,19.1,1.7889,2.1083,2.09,2.0865,2.081,2.076,2.068,1.9333,0.1444,0.3194,121.1911357,31,0.945,3.1752567,98.4329577,0.009843296,1.02237E-06,1.95536E-07,3.0727E-07,2.79337E-07,4.46939E-07,5.30739E-08
AIR F2 LS,2013-09-26,2013,AIR,F,2,L,S,AIR F2 LS,19.4,1.7425,1.9611,1.94,1.9256,1.923,1.919,1.915,1.841,0.0985,0.2186,121.928934,19,1.178947368,3.961333895,75.265344,0.007526534,1.54165E-06,1.05212E-06,1.89966E-07,2.92256E-07,2.92256E-07,1.21871E-06
AIR F2 WA,2013-09-26,2013,AIR,F,2,W,A,AIR F2 WA,19,1.7762,2.3395,2.29,2.2785,2.27,2.264,2.256,2.0367,0.2605,0.5633,116.2380038,46,1.125,3.7800675,173.883105,0.017388311,1.56548E-06,3.63696E-07,2.68819E-07,1.89755E-07,2.53006E-07,4.12716E-07
