location,site,type,year,sample.no,depth,density,swe,htc
Mary Lake: Forest,MLK,forest,2006,1,56,219.9579,123.1764,0.254
Mary Lake: Forest,MLK,forest,2006,2,38,246.7949,93.7821,0.4712
Mary Lake: Forest,MLK,forest,2006,3,46,188.6596,86.7834,0.2275
Mary Lake: Forest,MLK,forest,2006,4,44,203.5974,89.5829,0.277
Mary Lake: Forest,MLK,forest,2006,5,41,206.7623,84.7725,0.3066
Mary Lake: Forest,MLK,forest,2006,6,34,218.1936,74.1858,0.4117
Mary Lake: Forest,MLK,forest,2006,7,34,205.843,69.9866,0.3664
Mary Lake: Forest,MLK,forest,2006,8,38,197.4201,75.0196,0.3015
Mary Lake: Forest,MLK,forest,2006,9,38,198.9093,75.5855,0.3061
Mary Lake: Forest,MLK,forest,2006,10,33,190.8726,62.988,0.3246
Mary Lake: Forest,MLK,forest,2006,11,45,230.1782,103.5802,0.3461
Mary Lake: Forest,MLK,forest,2006,12,37,193.9693,71.7687,0.299
Mary Lake: Forest,MLK,forest,2006,13,47,208.4708,97.9813,0.2719
Mary Lake: Forest,MLK,forest,2006,14,42,199.9618,83.9839,0.2799
Mary Lake: Forest,MLK,forest,2006,15,42,189.9637,79.7847,0.2526
Mary Lake: Forest,MLK,forest,2006,16,48,224.0194,107.5293,0.3074
Mary Lake: Forest,MLK,forest,2006,17,56,212.4594,118.9772,0.237
Mary Lake: Forest,MLK,forest,2006,18,50,198.762,99.381,0.2323
Mary Lake: Forest,MLK,forest,2006,19,64,223.0823,142.7727,0.2286
Mary Lake: Forest,MLK,forest,2006,20,64,249.2888,159.5448,0.2855
Mary Lake: Forest,MLK,forest,2006,21,58,183.4132,106.3797,0.1705
Mary Lake: Forest,MLK,forest,2006,22,55,218.8672,120.377,0.2561
Mary Lake: Forest,MLK,forest,2006,23,70,223.9572,156.77,0.2107
Mary Lake: Forest,MLK,forest,2006,24,53,233.555,123.7842,0.3026
Mary Lake: Forest,MLK,forest,2006,25,41,184.355,75.5855,0.2437
Mary Lake: Forest,MLK,forest,2006,26,46,219.0885,100.7807,0.3068
Mary Lake: Forest,MLK,forest,2006,27,58,231.6798,134.3743,0.2721
Mary Lake: Forest,MLK,forest,2006,28,58,241.4466,140.039,0.2955
Mary Lake: Forest,MLK,forest,2006,29,58,224.4398,130.1751,0.2553
Mary Lake: Forest,MLK,forest,2006,30,46,179.5309,82.5842,0.206
Mary Lake: Forest,MLK,forest,2006,31,38,195.2258,74.1858,0.2949
Mary Lake: Forest,MLK,forest,2006,32,37,193.9693,71.7687,0.299
Mary Lake: Forest,MLK,forest,2006,33,32,218.7082,69.9866,0.4395
Broad: Coastal Beach Ridge,BBR,beach,2007,1,20,313.4705,62.6941,1.4445
Broad: Coastal Beach Ridge,BBR,beach,2007,2,20,313.4705,62.6941,1.4445
Broad: Coastal Beach Ridge,BBR,beach,2007,3,21,315.2008,66.1922,1.3909
Broad: Coastal Beach Ridge,BBR,beach,2007,4,10,277.1329,27.7133,2.258
Broad: Coastal Beach Ridge,BBR,beach,2007,5,15,301.3579,45.2037,1.78
Broad: Coastal Beach Ridge,BBR,beach,2007,6,14,297.8972,41.7056,1.8636
Broad: Coastal Beach Ridge,BBR,beach,2007,7,22,316.7739,69.6902,1.341
Broad: Coastal Beach Ridge,BBR,beach,2007,8,21,315.2008,66.1922,1.3909
Broad: Coastal Beach Ridge,BBR,beach,2007,9,14,297.8972,41.7056,1.8636
Broad: Coastal Beach Ridge,BBR,beach,2007,10,18,309.4329,55.6979,1.5639
Broad: Coastal Beach Ridge,BBR,beach,2007,11,20,313.4705,62.6941,1.4445
Broad: Coastal Beach Ridge,BBR,beach,2007,12,12,289.2454,34.7095,2.0497
Broad: Coastal Beach Ridge,BBR,beach,2007,13,16,304.3861,48.7018,1.7025
Broad: Coastal Beach Ridge,BBR,beach,2007,14,10,277.1329,27.7133,2.258
Broad: Coastal Beach Ridge,BBR,beach,2007,15,18,309.4329,55.6979,1.5639
Broad: Coastal Beach Ridge,BBR,beach,2007,16,10,277.1329,27.7133,2.258
Broad: Coastal Beach Ridge,BBR,beach,2007,17,10,277.1329,27.7133,2.258
Broad: Coastal Beach Ridge,BBR,beach,2007,18,18,309.4329,55.6979,1.5639
Broad: Coastal Beach Ridge,BBR,beach,2007,19,10,277.1329,27.7133,2.258
Broad: Coastal Beach Ridge,BBR,beach,2007,20,20,313.4705,62.6941,1.4445
Broad: Coastal Beach Ridge,BBR,beach,2007,21,14,297.8972,41.7056,1.8636
Broad: Coastal Beach Ridge,BBR,beach,2007,22,16,304.3861,48.7018,1.7025
Broad: Coastal Beach Ridge,BBR,beach,2007,23,14,297.8972,41.7056,1.8636
Broad: Coastal Beach Ridge,BBR,beach,2007,24,14,297.8972,41.7056,1.8636
Broad: Coastal Beach Ridge,BBR,beach,2007,25,26,321.856,83.6826,1.1714
Broad: Coastal Beach Ridge,BBR,beach,2007,26,20,313.4705,62.6941,1.4445
Broad: Coastal Beach Ridge,BBR,beach,2007,27,16,304.3861,48.7018,1.7025
Broad: Coastal Beach Ridge,BBR,beach,2007,28,18,309.4329,55.6979,1.5639
Broad: Coastal Beach Ridge,BBR,beach,2007,29,30,325.583,97.6749,1.0388
Broad: Coastal Beach Ridge,BBR,beach,2007,30,24,319.5267,76.6864,1.2507
Broad: Coastal Beach Ridge,BBR,beach,2007,31,30,325.583,97.6749,1.0388
Broad: Coastal Beach Ridge,BBR,beach,2007,32,22,316.7739,69.6902,1.341
Broad: Coastal Beach Ridge,BBR,beach,2007,33,18,309.4329,55.6979,1.5639
Broad: Riparian Forest,BRF,forest,2007,NA,NA,NA,NA,NA
Broad: Sedge Fen,BCF,fen,2007,NA,NA,NA,NA,NA
Broad: Shrub,BSH,shrub,2007,NA,NA,NA,NA,NA
Broad: Spruce Forest,BSF,forest,2007,NA,NA,NA,NA,NA
Mary Lake: Forest,MLK,forest,2007,1,86,268.6816,231.0661,0.2468
Mary Lake: Forest,MLK,forest,2007,2,86,268.6816,231.0661,0.2468
Mary Lake: Forest,MLK,forest,2007,3,82,265.9296,218.0623,0.2536
Mary Lake: Forest,MLK,forest,2007,4,68,253.7481,172.5487,0.2784
Mary Lake: Forest,MLK,forest,2007,5,86,268.6816,231.0661,0.2468
Mary Lake: Forest,MLK,forest,2007,6,90,271.1889,244.07,0.2402
Mary Lake: Forest,MLK,forest,2007,7,76,261.2585,198.5565,0.264
Mary Lake: Forest,MLK,forest,2007,8,88,269.9637,237.5681,0.2435
Mary Lake: Forest,MLK,forest,2007,9,88,269.9637,237.5681,0.2435
