site,year,date,time,sample,weight,depth,density,swe,htc
Mary Lake: Forest,2006,20060220,1400,1,440,56,219.9579406,123.1764467,0.254002852
Mary Lake: Forest,2006,20060220,1400,2,335,38,246.7949142,93.78206741,0.471233488
Mary Lake: Forest,2006,20060220,1400,3,310,46,188.6595775,86.78340566,0.227482092
Mary Lake: Forest,2006,20060220,1400,4,320,44,203.5974326,89.58287036,0.276974156
Mary Lake: Forest,2006,20060220,1400,5,302.8169359,41,206.7622737,84.77253222,0.306553354
Mary Lake: Forest,2006,20060220,1400,6,265,34,218.1935721,74.18581451,0.411672937
Mary Lake: Forest,2006,20060220,1400,7,250,34,205.8429925,69.98661747,0.366387449
Mary Lake: Forest,2006,20060220,1400,8,267.978463,38,197.4200651,75.01962473,0.301540961
Mary Lake: Forest,2006,20060220,1400,9,270,38,198.9093339,75.58554686,0.306107563
Mary Lake: Forest,2006,20060220,1400,10,225,33,190.8725931,62.98795572,0.32457909
Mary Lake: Forest,2006,20060220,1400,11,370,45,230.1782086,103.5801939,0.346149117
Mary Lake: Forest,2006,20060220,1400,12,256.3656388,37,193.9693394,71.76865557,0.298959102
Mary Lake: Forest,2006,20060220,1400,13,350,47,208.4707754,97.98126445,0.271856572
Mary Lake: Forest,2006,20060220,1400,14,300,42,199.9617642,83.98394096,0.27989295
Mary Lake: Forest,2006,20060220,1400,15,285,42,189.963676,79.78474391,0.252603387
Mary Lake: Forest,2006,20060220,1400,16,384.1067058,48,224.0194091,107.5293163,0.307381261
Mary Lake: Forest,2006,20060220,1400,17,425,56,212.4593745,118.9772497,0.236979675
Mary Lake: Forest,2006,20060220,1400,18,355,50,198.7619936,99.3809968,0.232297221
Mary Lake: Forest,2006,20060220,1400,19,510,64,223.0823432,142.7726996,0.228611331
Mary Lake: Forest,2006,20060220,1400,20,569.9118943,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,2006,20060220,1400,21,380,58,183.4132044,106.3796585,0.170522046
Mary Lake: Forest,2006,20060220,1400,22,430,55,218.8672401,120.376982,0.256062608
Mary Lake: Forest,2006,20060220,1400,23,560,70,223.9571759,156.7700231,0.21065863
Mary Lake: Forest,2006,20060220,1400,24,442.1708272,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,2006,20060220,1400,25,270,41,184.3549924,75.58554686,0.243709961
Mary Lake: Forest,2006,20060220,1400,26,360,46,219.0885416,100.7807292,0.306781261
Mary Lake: Forest,2006,20060220,1400,27,480,58,231.6798371,134.3743055,0.272079497
Mary Lake: Forest,2006,20060220,1400,28,500.2349486,58,241.4465655,140.039008,0.295502664
Mary Lake: Forest,2006,20060220,1400,29,465,58,224.4398422,130.1751085,0.255340231
Mary Lake: Forest,2006,20060220,1400,30,295,46,179.5308883,82.58420861,0.206000303
Mary Lake: Forest,2006,20060220,1400,31,265,38,195.2258277,74.18581451,0.294875221
Mary Lake: Forest,2006,20060220,1400,32,256.3656388,37,193.9693394,71.76865557,0.298959102
Mary Lake: Forest,2006,20060220,1400,33,250,32,218.7081796,69.98661747,0.439468148
Broad: Coastal Beach Ridge,2007,20070406,1009h,1,223.9502793,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,2007,20070406,1009h,2,223.9502793,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,2007,20070406,1009h,3,236.4458101,21,315.2008088,66.19216984,1.390921698
Broad: Coastal Beach Ridge,2007,20070406,1009h,4,98.99497207,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,2007,20070406,1009h,5,161.4726257,15,301.3579436,45.20369154,1.78000556
Broad: Coastal Beach Ridge,2007,20070406,1009h,6,148.977095,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,2007,20070406,1009h,7,248.9413408,22,316.7738616,69.69024956,1.34098317
